"module name","license","repository"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"has-tostringtag@1.0.2","MIT","https://github.com/inspect-js/has-tostringtag"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"http-errors@2.0.0","MIT","https://github.com/jshttp/http-errors"
"http_ece@1.2.0","MIT","https://github.com/martinthomson/encrypted-content-encoding"
"https-proxy-agent@7.0.5","MIT","https://github.com/TooTallNate/proxy-agents"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"iconv-lite@0.6.3","MIT","https://github.com/ashtuchkin/iconv-lite"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-core-module@2.14.0","MIT","https://github.com/inspect-js/is-core-module"
"is-expression@4.0.0","MIT","https://github.com/pugjs/is-expression"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-promise@2.2.2","MIT","https://github.com/then/is-promise"
"is-property@1.0.2","MIT","https://github.com/mikolalysenko/is-property"
"is-regex@1.1.4","MIT","https://github.com/inspect-js/is-regex"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"jackspeak@3.4.3","BlueOak-1.0.0","https://github.com/isaacs/jackspeak"
"jake@10.9.1","Apache-2.0","https://github.com/jakejs/jake"
"js-stringify@1.0.2","MIT","https://github.com/jadejs/js-stringify"
"jsonwebtoken@9.0.2","MIT","https://github.com/auth0/node-jsonwebtoken"
"jstransformer@1.0.0","MIT","https://github.com/jstransformers/jstransformer"
"jwa@1.4.1","MIT","https://github.com/brianloveswords/node-jwa"
"jwa@2.0.0","MIT","https://github.com/brianloveswords/node-jwa"
"jws@3.2.2","MIT","https://github.com/brianloveswords/node-jws"
"jws@4.0.0","MIT","https://github.com/brianloveswords/node-jws"
"lodash.includes@4.3.0","MIT","https://github.com/lodash/lodash"
"lodash.isboolean@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isinteger@4.0.4","MIT","https://github.com/lodash/lodash"
"lodash.isnumber@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isplainobject@4.0.6","MIT","https://github.com/lodash/lodash"
"lodash.isstring@4.0.1","MIT","https://github.com/lodash/lodash"
"lodash.once@4.1.1","MIT","https://github.com/lodash/lodash"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"long@5.2.3","Apache-2.0","https://github.com/dcodeIO/long.js"
"lru-cache@10.4.3","ISC","https://github.com/isaacs/node-lru-cache"
"lru-cache@7.18.3","ISC","https://github.com/isaacs/node-lru-cache"
"lru-cache@8.0.5","ISC","https://github.com/isaacs/node-lru-cache"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"minimalistic-assert@1.0.1","ISC","https://github.com/calvinmetcalf/minimalistic-assert"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimatch@5.1.6","ISC","https://github.com/isaacs/minimatch"
"minimatch@9.0.5","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"minipass@7.1.2","ISC","https://github.com/isaacs/minipass"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"mysql2@3.10.2","MIT","https://github.com/sidorares/node-mysql2"
"mysql@2.18.1","MIT","https://github.com/mysqljs/mysql"
"nagger@1.0.0","ISC","https://github.com/mrtindb/Nagger-App"
"named-placeholders@1.1.3","MIT","https://github.com/sidorares/named-placeholders"
"nanoid@3.3.7","MIT","https://github.com/ai/nanoid"
"negotiator@0.6.3","MIT","https://github.com/jshttp/negotiator"
"neo-async@2.6.2","MIT","https://github.com/suguru03/neo-async"
"node-fetch@2.7.0","MIT","https://github.com/bitinn/node-fetch"
"nodemailer@6.9.14","MIT-0","https://github.com/nodemailer/nodemailer"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.13.2","MIT","https://github.com/inspect-js/object-inspect"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"package-json-from-dist@1.0.0","BlueOak-1.0.0","https://github.com/isaacs/package-json-from-dist"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-scurry@1.11.1","BlueOak-1.0.0","https://github.com/isaacs/path-scurry"
"path-to-regexp@0.1.7","MIT","https://github.com/component/path-to-regexp"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"promise@7.3.1","MIT","https://github.com/then/promise"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"pug-attrs@3.0.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-attrs"
"pug-code-gen@3.0.3","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-code-gen"
"pug-error@2.1.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-error"
"pug-filters@4.0.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-filters"
"pug-lexer@5.0.1","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-lexer"
"pug-linker@4.0.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-linker"
"pug-load@3.0.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-load"
"pug-parser@6.0.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-parser"
"pug-runtime@3.0.1","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-runtime"
"pug-strip-comments@2.0.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-strip-comments"
"pug-walk@2.0.0","MIT","https://github.com/pugjs/pug/tree/master/packages/pug-walk"
"pug@3.0.3","MIT","https://github.com/pugjs/pug/tree/master/packages/pug"
"qs@6.11.0","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@2.5.2","MIT","https://github.com/stream-utils/raw-body"
"readable-stream@2.3.7","MIT","https://github.com/nodejs/readable-stream"
"resolve@1.22.8","MIT","https://github.com/browserify/resolve"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"semver@7.6.2","ISC","https://github.com/npm/node-semver"
"send@0.18.0","MIT","https://github.com/pillarjs/send"
"seq-queue@0.0.5","MIT*","https://github.com/changchang/seq-queue"
"serve-static@1.15.0","MIT","https://github.com/expressjs/serve-static"
"set-function-length@1.2.2","MIT","https://github.com/ljharb/set-function-length"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"side-channel@1.0.6","MIT","https://github.com/ljharb/side-channel"
"signal-exit@4.1.0","ISC","https://github.com/tapjs/signal-exit"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map"
"sqlstring@2.3.1","MIT","https://github.com/mysqljs/sqlstring"
"sqlstring@2.3.3","MIT","https://github.com/mysqljs/sqlstring"
"statuses@2.0.1","MIT","https://github.com/jshttp/statuses"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string-width@5.1.2","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-ansi@7.1.0","MIT","https://github.com/chalk/strip-ansi"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"to-fast-properties@2.0.0","MIT","https://github.com/sindresorhus/to-fast-properties"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"token-stream@1.0.0","MIT","https://github.com/pugjs/token-stream"
"tr46@0.0.3","MIT","https://github.com/Sebmaster/tr46.js"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"uglify-js@3.18.0","BSD-2-Clause","https://github.com/mishoo/UglifyJS"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"uuid@10.0.0","MIT","https://github.com/uuidjs/uuid"
"validator@13.12.0","MIT","https://github.com/validatorjs/validator.js"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"void-elements@3.1.0","MIT","https://github.com/pugjs/void-elements"
"web-push@3.6.7","MPL-2.0","https://github.com/web-push-libs/web-push"
"webidl-conversions@3.0.1","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"whatwg-url@5.0.0","MIT","https://github.com/jsdom/whatwg-url"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"with@7.0.2","MIT","https://github.com/pugjs/with"
"wordwrap@1.0.0","MIT","https://github.com/substack/node-wordwrap"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"wrap-ansi@8.1.0","MIT","https://github.com/chalk/wrap-ansi"
"ws@7.5.10","MIT","https://github.com/websockets/ws"
"ws@8.17.1","MIT","https://github.com/websockets/ws"
